Hotel Name,Price (SAR),Rating,Reviews,Address,Check-in,Check-out,Search Area,Religious_Context,Latitude,Longitude,Stay_Duration,City_Madinah,City_Makkah,City_Taif,Season_Type_Hajj Peak,Season_Type_Pre-Hajj,Season_Type_Ramadan Season,Season_Type_Regular Umrah,Price_Category_Budget,Price_Category_Mid-Range,Price_Category_Premium,Price_Category_Luxury
ضيافة الطلائع للشقق المخدومة - One-Bedroom Apartment,1.7339112502861922,-0.008311695658702966,-0.3538826433366099,"Lat: 21.422340393066406, Lng: 39.848140716552734",2026-03-10,2026-03-15,Hotels in Aziziyah Makkah,High spiritual tourism season during Ramadan,21.422340393066406,39.848140716552734,0.0,False,True,False,False,False,True,False,False,False,False,True
Emaar Elite Hotel,-0.08224072129545623,0.21141931320954838,-0.2413527544116241,"Lat: 21.4093584, Lng: 39.8293463",2026-03-10,2026-03-15,Hotels in Al Misfalah Makkah,High spiritual tourism season during Ramadan,21.4093584,39.8293463,0.0,False,True,False,False,False,True,False,False,True,False,False
WEDAM AL MISFALAH HOTEL 6,-0.08224072129545623,-0.008311695658702966,-0.3452186573233637,"Lat: 21.4043936, Lng: 39.8177251",2026-03-10,2026-03-15,Hotels in Al Misfalah Makkah,High spiritual tourism season during Ramadan,21.4043936,39.8177251,0.0,False,True,False,False,False,True,False,False,True,False,False
Makarem Um Al Qura Hotel,0.3441926325388373,0.43115032207779774,0.7977139916946308,"Lat: 21.4023114, Lng: 39.8307328",2026-03-10,2026-03-15,Hotels in Al Misfalah Makkah,High spiritual tourism season during Ramadan,21.4023114,39.8307328,0.0,False,True,False,False,False,True,False,False,False,True,False
لؤلؤة التوحيد,-0.08224072129545623,-1.1069667399999528,-0.17662768243031432,"Lat: 21.4109415, Lng: 39.8194078",2026-03-10,2026-03-15,Hotels in Al Misfalah Makkah,High spiritual tourism season during Ramadan,21.4109415,39.8194078,0.0,False,True,False,False,False,True,False,False,True,False,False
فندق الماسة بدر,-0.08224072129545623,0.8706123398142984,0.17625137142684227,"Lat: 21.4131952, Lng: 39.8215761",2026-03-10,2026-03-15,Hotels in Al Misfalah Makkah,High spiritual tourism season during Ramadan,21.4131952,39.8215761,0.0,False,True,False,False,False,True,False,False,True,False,False
فندق عبير الفضيله,-0.08224072129545623,-0.4477737133952027,-0.29537525543539445,"Lat: 21.405003699999998, Lng: 39.8172299",2026-03-10,2026-03-15,Hotels in Al Misfalah Makkah,High spiritual tourism season during Ramadan,21.4050037,39.8172299,0.0,False,True,False,False,False,True,False,False,True,False,False
Emaar Dewan Al Sud,-0.08224072129545623,-0.4477737133952027,-0.3527614216172486,"Lat: 21.410600000000002, Lng: 39.82763",2026-03-10,2026-03-15,Hotels in Al Misfalah Makkah,High spiritual tourism season during Ramadan,21.4106,39.82763,0.0,False,True,False,False,False,True,False,False,True,False,False
فندق سيف المجد,0.5202402461567878,-0.22804270452695236,-0.14451996955769608,"Lat: 21.4124269, Lng: 39.8246069",2026-03-10,2026-03-15,Hotels in Al Misfalah Makkah,High spiritual tourism season during Ramadan,21.4124269,39.8246069,0.0,False,True,False,False,False,True,False,False,False,True,False
فندق برج الضيافة,-0.08224072129545623,-0.4477737133952027,-0.309339562303803,"Lat: 21.4107651, Lng: 39.8225507",2026-03-10,2026-03-15,Hotels in Al Misfalah Makkah,High spiritual tourism season during Ramadan,21.4107651,39.8225507,0.0,False,True,False,False,False,True,False,False,True,False,False
ميسان الملتقى,-0.08224072129545623,-0.8872357311317024,-0.3472572422676569,"Lat: 21.4043253, Lng: 39.8167575",2026-03-10,2026-03-15,Hotels in Al Misfalah Makkah,High spiritual tourism season during Ramadan,21.4043253,39.8167575,0.0,False,True,False,False,False,True,False,False,True,False,False
فندق اعمار المنار,-0.08224072129545623,0.43115032207779774,-0.17550646071095305,"Lat: 21.4133755, Lng: 39.821685699999996",2026-03-10,2026-03-15,Hotels in Al Misfalah Makkah,High spiritual tourism season during Ramadan,21.4133755,39.8216857,0.0,False,True,False,False,False,True,False,False,True,False,False
فوكو مكه,0.7056190053728629,0.650881330946049,1.7127328439406433,"Lat: 21.407812, Lng: 39.818487",2026-03-10,2026-03-15,Hotels in Al Misfalah Makkah,High spiritual tourism season during Ramadan,21.407812,39.818487,0.0,False,True,False,False,False,True,False,False,False,False,True
فندق الزائر بلازا,-0.08224072129545623,-1.5464287577364535,-0.26866979266515323,"Lat: 21.403618899999998, Lng: 39.8189036",2026-03-10,2026-03-15,Hotels in Al Misfalah Makkah,High spiritual tourism season during Ramadan,21.4036189,39.8189036,0.0,False,True,False,False,False,True,False,False,True,False,False
فندق برج الحديقة الجديد,-0.08224072129545623,-3.3042768286824544,-0.3350257326018976,"Lat: 21.410205299999998, Lng: 39.8195415",2026-03-10,2026-03-15,Hotels in Al Misfalah Makkah,High spiritual tourism season during Ramadan,21.4102053,39.8195415,0.0,False,True,False,False,False,True,False,False,True,False,False
